term,en,jp
fantastical,fantastical,ファンタスティカル
fantastic,fantastic,ファンタスティク
fantasm,fantasm,ファンタズム
fantasize,fantasize,ファンタサイズ
fantasies,fantasies,ファンタジイズ
fantasied,fantasied,ファンタジイドゥ
fantasia,fantasia,ファンタージア
fanta,fanta,ファンタ
fanny,fanny,ファニー
fanning,fanning,ファニング
fannie,fannie,ファニー
fanned,fanned,ファンドゥ
fangled,fangled,ファングルドゥ
fangle,fangle,ファングル
fang,fang,ファング
fanfan,fanfan,ファンファン
fancy,fancy,ファンシー
fanciful,fanciful,ファンシフル
fancification,fancification,ファンシフィケイション
fancies,fancies,ファンシイズ
fancier,fancier,ファンシアー
fancied,fancied,ファンシイドゥ
fanci,fanci,ファンシ
fanaticism,fanaticism,ファナティシズム
fanatically,fanatically,ファナティカリー
fanatical,fanatical,ファナティカル
fanatic,fanatic,ファナティック
fan,fan,ファン
famous,famous,フェイマス
famishing,famishing,ファミッシング
famishes,famishes,ファミッシズ
famished,famished,ファミッシュトゥ
famish,famish,ファミッシュ
faming,faming,フェイミング
famine,famine,ファミン
family,family,ファミリー
families,families,ファミリーズ
familiarly,familiarly,ファミリアリー
familiarizing,familiarizing,ファミリアライジング
familiarized,familiarized,ファミリアライズドゥ
familiarize,familiarize,ファミリアライズ
familiarity,familiarity,ファミリアリティー
familiarities,familiarities,ファミリアリティイズ
familiar,familiar,ファミリアー
familial,familial,ファミリアル
fames,fames,フェイムズ
famed,famed,フェイムドゥ
fame,fame,フェイム
falun,falun,ファルン
faltermayer,faltermayer,フォルターメイヤー
faltering,faltering,フォールタリング
faltered,faltered,フォルタードゥ
falter,falter,フォールター
falstaff,falstaff,フォルスタッフ
falsity,falsity,フォルシティー
falsities,falsities,フォルシティズ
falsing,falsing,フォールシング
falsify,falsify,フォルシファイ
falsifies,falsifies,フォルシファイズ
falsified,falsified,フォルシファイドゥ
falsetto,falsetto,フォルセット
falses,falses,フォールシズ
falser,falser,フォールサア
false,false,フォールス
fallow,fallow,ファロウ
fallopian,fallopian,ファロウピアン
falling,falling,フォーリング
falliblity,falliblity,ファリブリティー
fallible,fallible,ファリブル
fallibility,fallibility,ファリビリティー
fallen,fallen,フォールン
fallal,fallal,ファラル
fallacy,fallacy,ファラシー
fallacious,fallacious,フォレイシャス
fallacies,fallacies,ファラシーズ
fall,fall,フォール
falk,falk,フォーク
falconry,falconry,フォルコンリー
falconer,falconer,フォルコナー
falcon,falcon,フォルカン
falafel,falafel,ファラフェル
fakir,fakir,フェキア
faking,faking,フェィキング
fakes,fakes,フェィクス
fakery,fakery,フェィカリイ
fakeries,fakeries,フェィカリイズ
faker,faker,フェィカー
faked,faked,フェィクトゥ
fake,fake,フェィク
faithfully,faithfully,フェイスフリー
faith,faith,フェイス
faisalabad,faisalabad,ファイサラバードゥ
faisal,faisal,ファイサル
fairy,fairy,フェアリー
fairly,fairly,フェアリー
fairish,fairish,フェアリッシュ
fairing,fairing,フェアリング
fairies,fairies,フェアリーズ
fairfax,fairfax,フェアファックス
fairest,fairest,フェアレストゥ
fairer,fairer,フェアラー
faire,faire,フェール
fair,fair,フェアー
faints,faints,フェインツ
fainting,fainting,フェインティング
faintest,faintest,フェインテストゥ
fainter,fainter,フェインター
fainted,fainted,フェインティドゥ
faint,faint,フェイントゥ
fain,fain,フェイン
failure,failure,フェイリャー
failing,failing,フェイリング
failed,failed,フェイルドゥ
fail,fail,フェイル
faigin,faigin,フェイギン
fahrenheit,fahrenheit,ファランハイトゥ
fagri,fagri,エフアグリ
fagging,fagging,ファギング
fagged,fagged,ファグドゥ
fagan,fagan,ファガン
fag,fag,ファッグ
faery,faery,フェイアリイ
fading,fading,フェイディング
fades,fades,フェイズ
faded,faded,フェイディドゥ
fade,fade,フェイドゥ
faddy,faddy,ファディー
faddp,faddp,エフアッドゥピー
faddist,faddist,ファディストゥ
faddism,faddism,ファディズム
fadd,fadd,エフアッドゥ
fad,fad,ファドゥ
faculty,faculty,ファカルティー
faculties,faculties,ファカルティース
factures,factures,ファクチュアーズ
facture,facture,ファクチュア
facturally,facturally,ファクチュラリー
factural,factural,ファクチュラル
factually,factually,ファクチュアリー
factuality,factuality,ファクチュアリティ
factual,factual,ファクチュアル
facts,facts,ファクツ
factory,factory,ファクトリー
factorization,factorization,ファクトリゼイション
factoring,factoring,ファクタリング
factories,factories,ファクトリイズ
factorial,factorial,ファクトリアル
factored,factored,ファクタードゥ
factor,factor,ファクター
factoid,factoid,ファクトイドゥ
facto,facto,ファクトウ
factitive,factitive,ファクティティブ
factitious,factitious,ファクティシャス
factious,factious,ファクシャス
factional,factional,ファクショナル
faction,faction,ファクション
fact,fact,ファクトゥ
facsimiles,facsimiles,ファクシミリズ
facsimile,facsimile,ファクシミリ
facing,facing,フェイシング
facility,facility,ファシリティイ
facilities,facilities,ファシリティイズ
facilitator,facilitator,ファシリテイター
facilitative,facilitative,ファシリテイティブ
facilitation,facilitation,ファシリテイション
facilitating,facilitating,ファシリテイティング
facilitates,facilitates,ファシリテイツ
facilitated,facilitated,ファシリテイティドゥ
facilitate,facilitate,ファシリテイトゥ
facilely,facilely,ファシルリー
facile,facile,ファシル
facil,facil,ファシル
facial,facial,フェイシャル
facets,facets,ファセッツ
facetious,facetious,ファシーシャス
faceting,faceting,ファシティング
faceted,faceted,ファシティドゥ
facet,facet,ファシトゥ
faces,faces,フェイシズ
faced,faced,フェイストゥ
face,face,フェイス
facades,facades,ファサーズ
facaded,facaded,ファサーディドゥ
facade,facade,ファサードゥ
fabulous,fabulous,ファビュラス
fabulist,fabulist,ファビュリストゥ
fabricator,fabricator,ファブリケイター
fabrication,fabrication,ファブリケイション
fabricating,fabricating,ファブリケイティング
fabricates,fabricates,ファブリケイツ
fabricated,fabricated,ファブリケイティドゥ
fabricate,fabricate,ファブリケイトゥ
fabric,fabric,ファブリック
fabled,fabled,フェイブルドゥ
fable,fable,フェイブル
fabio,fabio,ファビオ
faber,faber,フェイバー
ezekiel,ezekiel,イゼキエル
eyquem,eyquem,エイケム
eying,eying,アイイング
eyed,eyed,アイドゥ
eye,eye,アイ
exxon,exxon,エクソン
exwin,exwin,イーエックスウイン
exview,exview,イーエックスビュー
exuser,exuser,イーエックスユーザー
exurbanite,exurbanite,エクサーバナイトゥ
exurban,exurban,エクサーバン
exurb,exurb,エクサーブ
exults,exults,イグザルツ
exulting,exulting,イグザルティング
exulted,exulted,イクザルティドゥ
exultation,exultation,エグザルテイション
exultant,exultant,エグザルタントゥ
exult,exult,イクザルトゥ
exuding,exuding,イグヂューディング
exudes,exudes,イグヂューズ
exuded,exuded,イクジューディドゥ
exude,exude,イクジュードゥ
exuberating,exuberating,イグズーバレイティング
exuberated,exuberated,イグズーバレイティドゥ
exuberate,exuberate,イグズーバレイトゥ
exuberant,exuberant,エグズーバラントゥ
exuberance,exuberance,エグズーバランス
extubation,extubation,エクスチューベイション
extubating,extubating,エクスチューベイティング
extubate,extubate,エクスチューベイトゥ
extssz,extssz,エクストエスエスゼットゥ
extsort,extsort,イーエックスティーソートゥ
extrusive,extrusive,エクストゥリューシヴ
extrusion,extrusion,エクストゥリュージョン
extruding,extruding,イクストゥルーディング
extrudes,extrudes,イクストゥルーズ
extruded,extruded,イクストゥルーディドゥ
extrude,extrude,イクストゥルードゥ
extroverts,extroverts,エクストゥラヴァートゥ
extroverted,extroverted,エクストゥラヴァーティドゥ
extrovert,extrovert,エクストゥラヴァートゥ
extroversion,extroversion,エクストゥラヴァージョン
extrn,extrn,イクスタン
extrinsic,extrinsic,エクストゥリンシク
extricate,extricate,エクストゥリケイトゥ
extricably,extricably,エクストゥリカブリー
extricable,extricable,エクストゥリカブル
extremity,extremity,エクストゥリミティー
extremities,extremities,エクストゥリミティイズ
extremists,extremists,エクストゥリミスツ
extremist,extremist,エクストゥリミストゥ
extremism,extremism,エクストゥリミズム
extreme,extreme,エクストゥリーム
extraverts,extraverts,エクストゥラヴァーツ
extraverted,extraverted,エクストゥラヴァーティドゥ
extravert,extravert,エクストゥラヴァートゥ
extraversion,extraversion,エクストゥラヴァージョン
extravaganza,extravaganza,エクストゥラバガンザ
extravagant,extravagant,エクストゥラバガントゥ
extravagance,extravagance,エクストゥラバガンス
extrav,extrav,エクストゥラブイ
extraterritoriality,extraterritoriality,エクストゥラテリトリアリティイ
extrapolation,extrapolation,エクストゥラポレイション
extrapolate,extrapolate,エクストゥラポレイトゥ
extraordinary,extraordinary,エクストゥローディナリー
extraordinarily,extraordinarily,エクストゥローディナリリイ
extraneous,extraneous,エクストゥレイニアス
extradition,extradition,エクストゥラディッション
extraditing,extraditing,エクストゥラダイティング
extradites,extradites,エクストゥラダイツ
extradited,extradited,エクストゥラダイティドゥ
extradite,extradite,エクストゥラダイトゥ
extracts,extracts,エクストゥラクツ
extractor,extractor,エクストゥラクター
extractive,extractive,イクストゥラクティブ
extraction,extraction,エクストゥラクション
extracting,extracting,エクストゥラクティング
extracted,extracted,エクストゥラクティドゥ
extractable,extractable,エクストゥラクタブル
extractability,extractability,エクストゥラクタビリティイ
extract,extract,エクストゥラクトゥ
extra,extra,エクストゥラ
extorts,extorts,エクストーツ
extortionist,extortionist,エクストーショニストゥ
extortioner,extortioner,エクストーショナー
extortion,extortion,エクストーション
extorting,extorting,エクストーティング
extorted,extorted,エクストーティドゥ
extort,extort,エクストートゥ
extorsive,extorsive,イクストーシブ
extorsion,extorsion,イクストーション
extolling,extolling,イクストウリング
extoller,extoller,イクストウラー
extolled,extolled,イクストウルドゥ
extoll,extoll,イクストウル
extoling,extoling,イクストウリング
extoler,extoler,イクストウラー
extoled,extoled,イクストウルドゥ
extol,extol,イクストウル
extnsz,extnsz,エクストゥエヌエスゼットゥ
extmsz,extmsz,エクストゥエムエスゼットゥ
extirpation,extirpation,エクスターペイション
extirpating,extirpating,エクスターペイティング
extirpate,extirpate,エクスターペイトゥ
extinguishing,extinguishing,エクスティングィッシング
extinguishes,extinguishes,エクスティングイッシズ
extinguisher,extinguisher,エクスティングイッシャー
extinguished,extinguished,エクスティングイッシュトゥ
extinguish,extinguish,エクスティングィッシュ
extinction,extinction,エクスティンクション
extinct,extinct,エクスティンクトゥ
extext,extext,イクステキストゥ
externally,externally,エクスターナリー
externality,externality,エクスターナリティイ
external,external,エクスターナル
externa,externa,エクスターナー
extern,extern,イクスターン
exterminator,exterminator,エクスターミネイター
extermination,extermination,エクスターミネイション
exterminating,exterminating,エクスターミネイティング
exterminates,exterminates,エクスターミネイツ
exterminated,exterminated,エクスターミネイティドゥ
exterminate,exterminate,エクスターミネイトゥ
exterior,exterior,エクステリア
extenuation,extenuation,エクステニュエイション
extenuate,extenuate,エクステニュエイトゥ
extention,extention,エクステンション
extent,extent,エクステントゥ
extensor,extensor,エクステンサー
extensively,extensively,イクステンシブリー
extensive,extensive,イクステンシブ
extension,extension,エクステンション
extensile,extensile,エクステンシル
extensible,extensible,エクステンシブル
extends,extends,エクステンズ
extending,extending,エクステンディング
extendible,extendible,エクステンディブル
extender,extender,エクステンダー
extended,extended,エクステンディドゥ
extend,extend,エクステンドゥ
extemporaneous,extemporaneous,イクステンポレイニアス
exte,exte,エクステ
extdswap,extdswap,エクステッドスワップ
extauto,extauto,イーエックスティーオート
extant,extant,エクスタントゥ
exquisitely,exquisitely,イクスクイジットゥリー
exquisite,exquisite,エクスクィジットゥ
expurgating,expurgating,エクスパーゲイティング
expurgated,expurgated,エクスパーゲイティドゥ
expurgate,expurgate,エクスパーゲイトゥ
expunging,expunging,エクスパンジング
expunges,expunges,エクスパンジズ
expunged,expunged,エクスパンジドゥ
expunge,expunge,エクスパンジ
expulsion,expulsion,エクスパルション
exproring,exproring,エクスプロアリング
expropriation,expropriation,イクスプロプリエイション
expropriating,expropriating,エクスプロプリエイティング
expropriates,expropriates,エクスプロプリエイツ
expropriated,expropriated,エクスプロプリエイティドゥ
expropriate,expropriate,エクスプロプリエイトゥ
expresso,expresso,エクスプレッソ
expressive,expressive,エクスプレッシブ
expression,expression,エクスプレッション
expressing,expressing,エクスプレッシング
expressibly,expressibly,エクスプレシブリー
expressible,expressible,エクスプレシブル
expresses,expresses,エクスプレッシズ
expressed,expressed,エクスプレストゥ
expressage,expressage,エクスプレセジ
expressably,expressably,エクスプレサブリー
expressable,expressable,エクスプレサブル
express,express,エクスプレス
expounds,expounds,エクスパウンズ
expounding,expounding,エクスパウンディング
expounded,expounded,エクスパウンディドゥ
expound,expound,エクスパウンドゥ
exposure,exposure,エクスポウジャー
expostulatory,expostulatory,エクスポスチュラトリイ
expostulation,expostulation,エクスポスチュレイション
expostulating,expostulating,エクスポスチュレイティング
expostulates,expostulates,エクスポスチュレイツ
expostulated,expostulated,エクスポスチュレイティドゥ
expostulate,expostulate,エクスポスチュレイトゥ
expository,expository,エクスポジトリー
expositor,expositor,エクスポジター
exposition,exposition,エクスポジション
exposing,exposing,エクスポウジング
exposes,exposes,エクスポウジズ
exposed,exposed,エクスポウズドゥ
expose,expose,エクスポウズ
exports,exports,エクスポーツ
exporting,exporting,エクスポーティング
exporter,exporter,エクスポーター
exported,exported,エクスポーティドゥ
exportant,exportant,エクスポータントゥ
exportance,exportance,エクスポータンス
export,export,エクスポートゥ
exponents,exponents,エクスポウネンツ
exponentive,exponentive,エクスポウネンティブ
exponenting,exponenting,エクスポウネンティング
exponentiation,exponentiation,エクスポウネンシエイション
exponentially,exponentially,エクスポウネンシャリー
exponential,exponential,エクスポウネンシャル
exponented,exponented,エクスポウネンティドゥ
exponent,exponent,エクスポウネントゥ
exponds,exponds,エクスポンズ
exponding,exponding,エクスポンディング
expondents,expondents,エクスポンデンツ
expondentially,expondentially,エクスポンデンシャリー
expondential,expondential,エクスポンデンシャル
expondent,expondent,エクスポンデントゥ
expondences,expondences,エクスポンデンシズ
expondence,expondence,エクスポンデンス
exponded,exponded,エクスポンディドゥ
expond,expond,エクスポンドゥ
expo,expo,エクスポ
explosive,explosive,イクスプロウシブ
explosion,explosion,イクスプロウジョン
exploring,exploring,イクスプロアリング
explorer,explorer,イクスプローラー
explored,explored,イクスプロアードゥ
explore,explore,イクスプロアー
exploratory,exploratory,イクスプローラトリー
exploratorium,exploratorium,エクスプロラトリウム
exploration,exploration,エクスプロアレイション
exploiture,exploiture,イクスプロイチャー
exploits,exploits,イクスプロイッツ
exploitive,exploitive,イクスプロイティブ
exploiting,exploiting,イクスプロイティング
exploiter,exploiter,イクスプロイター
exploited,exploited,イクスプロイティドゥ
exploitative,exploitative,イクスプロイタティブ
exploitation,exploitation,イクスプロイテイション
exploitable,exploitable,イクスプロイタブル
exploit,exploit,イクスプロイットゥ
exploding,exploding,エクスプロウディング
explodes,explodes,エクスプロウズ
exploded,exploded,エクスプロウディドゥ
explode,explode,エクスプロウドゥ
explicit,explicit,イクスプリシットゥ
explicating,explicating,エクスプリケイティング
explicates,explicates,エクスプリケイツ
explicated,explicated,エクスプリケイティドゥ
explicate,explicate,エクスプリケイトゥ
explicably,explicably,エクシプリカブリイ
explicable,explicable,エクスプリカブル
expletive,expletive,エクスプリーティブ
explanatory,explanatory,エクスプラナトリー
explanation,explanation,エクスプラネイション
explaining,explaining,エクスプレイニング
explained,explained,エクスプレインドゥ
explain,explain,エクスプレイン
expiry,expiry,エクスパイアリー
expiring,expiring,エクスパイアリング
expired,expired,エクスパイアードゥ
expire,expire,エクスパイアー
expiration,expiration,エクスピレイション
expiating,expiating,エクスピエイティング
expiates,expiates,エクスピエイツ
expiated,expiated,エクスピエイティドゥ
expiate,expiate,エクスピエイトゥ
expession,expession,エクスペション
experts,experts,エクスパーツ
expertise,expertise,エクスパティーズ
expert,expert,エクスパートゥ
experiments,experiments,エクスペリメンツ
experimenting,experimenting,エクスペリメンティング
experimented,experimented,エクスペリメンティドゥ
experimentation,experimentation,エクスペリメンテイション
experimentally,experimentally,エクスペリメンタリー
experimental,experimental,エクスペリメンタル
experiment,experiment,エクスペリメントゥ
experiential,experiential,エクスペリエンシャル
experiencing,experiencing,エクスペリエンシング
experiences,experiences,エクスペリエンシズ
experienced,experienced,エクスペリエンストゥ
experience,experience,エクスペリエンス
expensive,expensive,エクスペンシブ
expensionally,expensionally,エクスペンショナリー
expensional,expensional,エクスペンショナル
expension,expension,エクスペンション
expensing,expensing,エクスペンシング
expenses,expenses,エクスペンシズ
expensed,expensed,エクスペンストゥ
expense,expense,エクスペンス
expends,expends,エクスペンズ
expenditures,expenditures,エクスペンダチャーズ
expenditures,expenditures,イクスペンディチャーズ
expenditure,expenditure,イクスペンディチャー
expending,expending,エクスペンディング
expended,expended,エクスペンディドゥ
expendable,expendable,イクスペンダブル
expend,expend,エクスペンドゥ
expence,expence,エクスペンス
expelling,expelling,エクスペリング
expelled,expelled,エクスペルドゥ
expel,expel,エクスペル
expeditious,expeditious,エクスペディシャス
expedition,expedition,エクスペディション
expediting,expediting,エクスパダイティング
expedites,expedites,エクスパダイツ
expedited,expedited,エクスパダイティドゥ
expedite,expedite,エクスパダイトゥ
expedient,expedient,エクスピーディエントゥ
expediency,expediency,イクスピーディアンシイ
expedience,expedience,エクスピーディアンス
expects,expects,エクスペクツ
expectoration,expectoration,エクスペクトレイション
expecting,expecting,エクスペクティング
expected,expected,エクスペクティドゥ
expectation,expectation,エクスペクテイション
expectant,expectant,エクスペクタントゥ
expectancy,expectancy,エクスペクタンシイ
expectancies,expectancies,エクスペクタンシイズ
expectance,expectance,エクスペクタンス
expect,expect,エクスペクトゥ
expatriate,expatriate,エクスペイトゥリエイトゥ
expatiating,expatiating,イクスペイシエイティング
expatiated,expatiated,イクスペイシエイティドゥ
expatiate,expatiate,イクスペイシエイトゥ
expansive,expansive,エクスパンシブ
expansionist,expansionist,エクスパンショニストゥ
expansion,expansion,イクスパンション
expansed,expansed,エクスパンストゥ
expanse,expanse,エクスパンス
expands,expands,イクスパンズ
expanding,expanding,イクスパンディング
expander,expander,イクスパンダー
expanded,expanded,イクスパンディドゥ
expandation,expandation,エクスパンデイション
expandable,expandable,エクスパンダブル
expandability,expandability,エクスパンダビリティー
expand,expand,エクスパンドゥ
exoticism,exoticism,エグゾティシズム
exotically,exotically,エグゾティカリー
exotic,exotic,エクゾティック
exoteric,exoteric,エクソテリク
exordium,exordium,エクソーディアム
exorcize,exorcize,エクソーサイズ
exorcists,exorcists,エクソシスツ
exorcist,exorcist,エクソシストゥ
exorcism,exorcism,エクソシズム
exorcising,exorcising,エクソサイジング
exorcises,exorcises,エクソサイジズ
exorciser,exorciser,エクソサイザ
exorcised,exorcised,エクソサイズドゥ
exorcise,exorcise,エクソサイズ
exorbitant,exorbitant,エグゾービタントゥ
exonertor,exonertor,イグゾナレイター
exonerator,exonerator,イグゾナレイター
exonerative,exonerative,イグゾナレイティブ
exoneration,exoneration,イグゾナレイション
exonerating,exonerating,イグゾナレイティング
exonerates,exonerates,イグゾナレイツ
exonerated,exonerated,イグゾナレイティドゥ
exonerate,exonerate,イグゾナレイトゥ
exogamy,exogamy,エクソガミー
exodus,exodus,エクソダス
exocet,exocet,エクソセトゥ
exmenu,exmenu,イーエックスメニュー
exmac,exmac,イクスマック
exload,exload,イーエックスロードゥ
exitting,exitting,イグジッティング
exitted,exitted,イグジッティドゥ
exits,exits,イグジッツ
exitm,exitm,エグジットゥエム
exiting,exiting,イグジティング
exit,exit,イグジットゥ
exists,exists,イグジスツ
existing,existing,イグジスティング
existentialists,existentialists,イグジステンシャリスツ
existentialist,existentialist,イグジステンシャリストゥ
existentialism,existentialism,イグジステンシャリズム
existential,existential,エグジステンシャル
existent,existent,エグジステントゥ
existences,existences,イグジスタンシズ
existence,existence,イグジスタンス
existed,existed,エクジスティドゥ
exist,exist,イグジストゥ
exiling,exiling,イグザイリング
exiles,exiles,イグザイルズ
exiled,exiled,イグザイルドゥ
exile,exile,エクザイル
exilarating,exilarating,イグジラレイティング
exigent,exigent,エクシジャントゥ
exigency,exigency,エクシジェンシイ
exigencies,exigencies,エクシジェンシイズ
exhumed,exhumed,エグジュームドゥ
exhume,exhume,エグジューム
exhorted,exhorted,エクゾーティドゥ
exhortation,exhortation,エグゾーテイション
exhort,exhort,エクゾートゥ
exhilarative,exhilarative,イグジラレイティブ
exhilaration,exhilaration,イグジラレイション
exhilarating,exhilarating,イグジラレイティング
exhilarates,exhilarates,イグジラレイツ
exhilarated,exhilarated,イグジラレイティドゥ
exhilarate,exhilarate,イグジラレイトゥ
exhibits,exhibits,エグジビッツ
exhibitor,exhibitor,エグジビター
exhibition,exhibition,エクシビション
exhibiting,exhibiting,エグジビティング
exhibited,exhibited,エクジビティドゥ
exhibit,exhibit,エクジビットゥ
exhausts,exhausts,エグゾースツ
exhaustive,exhaustive,エグゾースティヴ
exhaustion,exhaustion,エグゾースチョン
exhausting,exhausting,エグゾースティング
exhaustible,exhaustible,エグゾースティブル
exhausted,exhausted,エクゾースティドゥ
exhaust,exhaust,エクゾーストゥ
exhaling,exhaling,エクスヘイリング
exhaled,exhaled,エクスヘイルドゥ
exhale,exhale,エクスヘイル
exhalation,exhalation,エクスハレイション
exeunt,exeunt,エクシアントゥ
exerts,exerts,エグザーツ
exertion,exertion,エグザーション
exerting,exerting,エグザーティング
exerted,exerted,エグザーティドゥ
exert,exert,エグザートゥ
exercising,exercising,エクササイジング
exercises,exercises,エクササイジズ
exercised,exercised,エクササイズドゥ
exercise,exercise,エクササイズ
exepack,exepack,エグゼパック
exempts,exempts,エグゼンプツ
exemption,exemption,エグゼンプション
exempting,exempting,エグゼンプティング
exempted,exempted,エグゼンプティドゥ
exempt,exempt,エグゼンプトゥ
exemplum,exemplum,イグゼンプラム
exemplify,exemplify,エグゼンプリファイ
exemplifies,exemplifies,エグゼンプリファイズ
exemplified,exemplified,エグゼンプリファイドゥ
exemplary,exemplary,エグゼンプラリー
exemplar,exemplar,エグゼンプラー
exempla,exempla,エグゼンプラ
exegises,exegises,エクシジーシズ
exegesis,exegesis,エクシジーシス
executor,executor,エクセキューター
executive,executive,エグゼキュティブ
executioner,executioner,エクセキューショナー
execution,execution,エクセキューション
executing,executing,エクゼキューティング
executes,executes,エグゼキューツ
executed,executed,エグゼキューティドゥ
execute,execute,エグゼキュートゥ
executant,executant,エグゼキュタントゥ
executable,executable,エクゼキュータブル
execrate,execrate,エクシクレイトゥ
execrable,execrable,エクシクラブル
execk,execk,エグジェックケイ
exechsb,exechsb,エグゼックエイチエスビイ
execfile,execfile,エグゼックファイル
exec,exec,エグゼック
exe,exe,エクゼ
excusing,excusing,エクスキュージング
excuses,excuses,エクスキュージズ
excused,excused,エクスキューズドゥ
excuse,excuse,エクスキューズ
excusable,excusable,エクスキューザブル
excursive,excursive,エクスカーシブ
excursion,excursion,エクスカージョン
exculpatory,exculpatory,イクスカルパトリイ
exculpation,exculpation,エクスカルペイション
excruciating,excruciating,イクスクルーシエイティング
excruciated,excruciated,イクスクルーシエイティドゥ
excruciate,excruciate,イクスクルーシエイトゥ
excretory,excretory,エクスクリトリイ
excretion,excretion,エクスクリーション
excreting,excreting,エクスクリーティング
excretes,excretes,エクスクリーツ
excreted,excreted,エクスクリーティドゥ
excrete,excrete,エクスクリートゥ
excrements,excrements,エクスクリイメンツ
excrementing,excrementing,エクスクリイメンティング
excremented,excremented,エクスクリイメンティドゥ
excrement,excrement,エクスクレメントゥ
excommunicate,excommunicate,エクスコミュニケイトゥ
exclusivity,exclusivity,エクスクルーシビティイ
exclusive,exclusive,エクスクルーシブ
exclusionism,exclusionism,エクスクルージョニズム
exclusionary,exclusionary,エクスクルージョナリイ
exclusion,exclusion,エクスクルージョン
excluding,excluding,エクスクルーディング
excludes,excludes,エクスクルーズ
excluded,excluded,エクスクルーディドゥ
exclude,exclude,エクスクルードゥ
exclamatory,exclamatory,エクスクラマトリー
exclamation,exclamation,エクスクラメイション
exclaims,exclaims,エクスクレイムズ
exclaiming,exclaiming,エクスクレイミング
exclaimed,exclaimed,エクスクレイムドゥ
exclaim,exclaim,エクスクレイム
exciting,exciting,エキサイティング
excites,excites,エクサイツ
excited,excited,エクサイティドゥ
excite,excite,エクサイトゥ
excitation,excitation,エクサイテイション
excitant,excitant,エクサイタントゥ
excitablity,excitablity,エクサイタビリティイ
excitablities,excitablities,エクサイタビリティイズ
excitable,excitable,エクサイタブル
excit,excit,エクサイトゥ
excising,excising,エクサイジング
excises,excises,エクサイジズ
excised,excised,エクサイズドゥ
excise,excise,エクサイズ
exchequer,exchequer,エクスチェッカー
exchanging,exchanging,エクスチェインジング
exchanges,exchanges,エクスチェインジズ
exchanger,exchanger,エクスチェインジャー
exchanged,exchanged,エクスチェインジドゥ
exchangeable,exchangeable,エクスチェインジャブル
exchange,exchange,エクスチェインジ
excessive,excessive,エクセッシブ
excesses,excesses,エクセシズ
excess,excess,エクセス
excerpts,excerpts,エクサープツ
excerpting,excerpting,エクサープティング
excerpted,excerpted,エクサープティドゥ
excerpt,excerpt,エクサープトゥ
excepts,excepts,エクセプツ
exceptionally,exceptionally,エクセプショナリイ
exceptional,exceptional,エクセプショナル
exceptionable,exceptionable,エクセプショナブル
exception,exception,エクセプション
excepting,excepting,エクセプティング
excepted,excepted,エクセプティドゥ
except,except,エクセプトゥ
excelsior,excelsior,エスセルシアー
excellent,excellent,エクセレントゥ
excellency,excellency,エクセレンシー
excellencies,excellencies,エクセレンシイズ
excellence,excellence,エクセレンス
excelled,excelled,エクセルドゥ
excel,excel,エクセル
exceeds,exceeds,エクシーズ
exceeding,exceeding,エクシーディング
exceeded,exceeded,エクシーディドゥ
exceed,exceed,エクシードゥ
exce,exce,イクセ
excavator,excavator,エクスカベイター
excavation,excavation,エクスカベイション
excavating,excavating,エクスカベイティング
excavated,excavated,エクスカベイティドゥ
excavate,excavate,エクスカヴェイトゥ
exasperation,exasperation,イグザスパレイション
exasperating,exasperating,イグザスパレイティング
exasperates,exasperates,イグザスパレイツ
exasperated,exasperated,イグザスパレイティドゥ
exasperate,exasperate,イグザスパレイトゥ
example,example,イグザンプル
examining,examining,イグザミニング
examiner,examiner,イグザミナー
examinee,examinee,イグザミニー
examined,examined,イクザミンドゥ
examine,examine,イクザミン
examination,examination,イグザミネイション
examin,examin,イグザミン
exam,exam,イクザム
exalted,exalted,イグザルティドゥ
exaltation,exaltation,イグザルテイション
exalt,exalt,イグザルトゥ
exaggeration,exaggeration,エグザジュレイション
exaggerating,exaggerating,エグザジュレイティング
exaggerates,exaggerates,エグザジュレイツ
exaggerated,exaggerated,エグザジュレイティドゥ
exaggerate,exaggerate,エグザジュレイトゥ
exacts,exacts,イグザクツ
exactry,exactry,イグザクトゥリー
exactor,exactor,イグザクター
exactitude,exactitude,イグザクティチュードゥ
exaction,exaction,イグザクション
exacting,exacting,イグザクティング
exacted,exacted,イグザクティドゥ
exactable,exactable,イグザクタブル
exact,exact,イグザクトゥ
exacerbation,exacerbation,イグザサベイション
exacerbating,exacerbating,イグザサベイティング
exacerbated,exacerbated,イグザサベイティドゥ
exacerbate,exacerbate,イグザサベイトゥ
ex,ex,エクス
ewing,ewing,ユーイング
ewes,ewes,ユーズ
ewe,ewe,ユー
ewald,ewald,エーバルト
evolving,evolving,イボルヴィング
evolved,evolved,イボウルブドゥ
evolve,evolve,イボウルブ
evolutionary,evolutionary,イボルーショナリー
evolution,evolution,イボリューション
evoking,evoking,イボウキング
evoked,evoked,イボウクトゥ
evoke,evoke,イボウク
evocative,evocative,エヴォケイティヴ
evocation,evocation,エヴォケイション
eviscerationally,eviscerationally,イビサレイショナリイ
evisceration,evisceration,イビサレイション
eviscerating,eviscerating,イビサレイティング
eviscerates,eviscerates,イビサレイツ
eviscerated,eviscerated,イビサレイティドゥ
eviscerate,eviscerate,イビサレイトゥ
evincing,evincing,イビンシング
evince,evince,イヴィンス
evil,evil,イーブル
evidential,evidential,イヴィデンシャル
